Local Health Integration Network (LHIN),Home Administrator,Licensee,Management Firm,Home Type,Licensed Beds,Approved Short Stay Beds,Residents’ Council,Family Council,Accreditation,Home Designated Under French Language Services Act,Additional Information,Telephone
Erie St. Clair, MR JEFF HARVEY  ,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(519) 336-2362
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), Ms Mary Wariara  ,Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,No,,(905) 689-2662
North East, MS PAMELA FICOCIELLO  ,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,No,,(705) 842-2840
North East, MS AMY MORRISON  ,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,Yes,,(705) 744-2202
Mississauga Halton, MR SEAN WEYLIE  ,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,No,,(905) 825-6000
Champlain, MS CAROLYN DELLA-FORESTA  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,No,,(613) 256-3095
Central East, Ms Lorraine Gibson  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,No,,(416) 284-4781
Hamilton Niagara Haldimand Brant (Hnhb), Ms Danielle Kennedy  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,No,,(905) 768-1641
Hamilton Niagara Haldimand Brant (Hnhb), MS LISA PALADINO  ,Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,No,,(905) 578-3431
South East, MS CHRISTINE SELLERY  ,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,No,,(613) 544-1155
North West, MR DOUG MOYNIHAN  ,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,No,,(807) 597-4215
North East, MR JACQUES DUPUIS  ,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,No,,(705) 753-1550
